;text
31;@maduardwa @byz_nanda @ticiazzx Nada ainda pessu??????? KKKKKKKKKK fmu vc me paga
32;Passei pelo prouni e a fmu não me mandou o termo para a matrícula até agora,tô preocupada...
33;"Esse blackboard que não libera logo mds.
Alô, FMU! Libera a matéria logo pfvr."
34;a fmu manda um email pedindo pra ativar o acesso ao portal do aluno, 5min mais tarde fala que o site vai ficar fora… https://t.co/zIRFqAESoh
35;@AHSBrasil A gente chegando na FMU @RafaTV26
36;parabéns p mim, a nova estudante da fmu
37;Já é o terceiro email que eu mando pra FMU só hoje kk
38;Caralho, administração da Uninove consegue ser pior do que a da FMU… nem sabia que tinha como
39;@maduardwa Sim, estou pensando assim tbm. Apenas mega preocupada porque semana que vem vai ter a 2° chamada😕, mas a… https://t.co/hYKYnvu4aS
40;tds as pessoas legais vao p fmu da liberdade q odiorrr
41;tô toda confusa com esse portal do aluno da fmu
42;@ticiazzx @maduardwa Simmmm, não vi ninguém da fmu com resultado ainda, e olha que a 2° chamada saí terça já 🤡😩
43;já aceitei o fato de que a fmu me esqueceu
44;Bora FMU, agiliza a análise do Prouni pelo amor
45;você vem na caa da fmu e sai com mais certeza ainda de que essa instituição é um LIXO
46;vai prouni da fmu se posiciona amada
47;@SerginhoAffonso @heldermaldonado @lofifeeling E quem precisa de destaque de um apresentador desconhecido, um tal d… https://t.co/vErEAD4teT
48;Josiane da FMU, vc não tem coração
49;A FMU tem um atendimento tão bosta, que ódio dessa faculdade, se arrependimento matasse...
50;que ódio dessa porra de Fmu
51;meu Deus um ano sem ir pra lá pra no último semestre neter essa pq me ODEIA fmu
52;fmu por favor eu não quero voltar presencial
53;eu tô suave tranquila… entro no grupo da faculdade e fico com um ódio tão grande da fmu mas tão grande por deus
54;O mais foda é que esse nível RIDÍCULO de administração não é só dá FMU, é de todas as faculdades do Brasil. Pode se… https://t.co/O6OB3K8DG4
55;A FMU me enlouquece. Primeiro diz que assim q cola grau institucional já pode solicitar certificado de conclusão. D… https://t.co/HX4jooUU04
56;"@Zetsssss Malu: por favor eu só quero me reorganizar 
FMu: fodase vadia puta"
57;fmu assina logo meu contrato p eu poder falar que faço estágio
58;MDS QUE ODIO DA PROUNI / FMU!!!!! ME ENVIARAM UM EMAIL  AGR EXIGINDO MAIS DOCUMENTOS E ME DERAM UM PRAZO DE 3HRS PRA ENVIA-LOS
59;@sunshineprialca odeio a fmu #AprendizDoPop
60;o atendimento da FMU é uma bosta total, fiquei o dia todo ligando e nada, fiquei mais de uma hora em ligação e ninguém atende que merda meu
61;fazer faculdade na fmu será uma boa?
62;"FMU quando você quer ser aluno: atendimento em 2 segundos e até ligam pra você se a ligação cai. 
FMU depois da mat… https://t.co/JEgDWvlGQO"
63;FMU é tão comprometida com o ensino de seus alunos que obriga eles a colocarem em prática o que aprenderam pra pode… https://t.co/URNbIPkxt6
64;5 Podcast “As Crianças Importam” do Jornal Expresso, sobre o direito das crianças brincarem e que contou com a minh… https://t.co/UTgBDOeGhm
65;fmu me estressando logo na ultima semana de férias
66;cada mensagem que a fmu me envia eles aumentam a porcentagem da bolsa, vazou o desespero
67;Eu não desejo nem ao meu pior inimigo que estude na FMU, de verdade
68;@sualvescruz Ahahahaahaha, 🖐🏿 aluno FMU, temos mais um aqui. Kkkkkk....
69;@thaynaconte @byz_nanda @GJeneci Vamos ser colegas de  salaaaaaaaaaaa (isso se a fdp da FMU der um sinal 😩)
70;me recuso a acreditar que as aulas da fmu já vão voltar terça
71;Esperando ansiosamente o email da fmu
72;@byz_nanda fmu acha que a gnt é palhaço só pode
73;Ódio ao atendimento da fmu
74;e ta impossível falar com a faculdade fmu vai toma@no cuuuu
75;"@thaynaconte @byz_nanda trupe da fmu aqui então?
tô que nem sequelado esperando a resposta"
76;"Mds do céu não tenho notícias nem do PROUNI e nem da FMU. Mandei meus documentos anteontem e até agr NADAAAAAAA.
PA… https://t.co/OtT902f95N"
77;"@Lrpaulino_ Da FMU? Nada ainda
Quando mandei meus documentos anteontem, só me enviaram isso 🥺 https://t.co/uD7f1LBC6X"
78;@ricardo_nunessp não tem vacina Astra Zeneca para segunda dose em São Paulo, shopping Vila Olímpia, FMU,  Jaques Fe… https://t.co/CmyHljGaeF
79;@estudioi não tem vacina em São Paulo , bela vista, centro, Moema , FMU, shopping Vila Olímpia , sem Astra Zeneca p… https://t.co/EwvyKLOKww
80;Depois de 457 dias brigando com a fmu FINALMENTE  consegui, obg Deus
81;mermão que história é essa que as aulas presenciais vão voltar na fmu? eu tô no Piauí CACETA
82;@ddlmnq a fmu atrasaria o processo de transferência
83;@sancfs_ Meu namorado é formado na FMU há 5 anos e tem uns bons anos de experiência com circo, musculação, treiname… https://t.co/Ctg9NmpBLf
84;Alguém aqui já teve problema com a FMU aqui? Eu fiz o vestibular a muitos anos atrás (a título de saber como eu tav… https://t.co/XQJVESy5sp
85;"É impressionante que eu mando mensagem para o Atendimento da @fmuoficial  POR DIAS e sou ignorado 

Ser aluno da FM… https://t.co/DdC1lPRFcq"
86;"Então FMU não é da Farallon ?!
🤔🤔🤔🤔🤔
Deixa pra lá , não me interessa e importante é meu diploma 🎓 😏😊"
87;"Alguém avisa o Google que sobre a Ãnima educação não quero nem saber e nem sei quem são os donos. 
O que me interes… https://t.co/RhHq1QYPgc"
88;Fmu pfv nunca te pedi nada só te peço pra vc adiar as aulas presenciais mais um semestre
89;fmu de merda, atrasa lado do caralho
90;o q me conforta eh vir pesquisar no tt e ver q a fmu n deu uma resposta pra ngm ainda
91;FMU já mandou e-mail falando que vai ter aula tanto presencial como on-line. Se a UFABC voltar FODEUUu
92;Não é possível que a Fmu é a única faculdade que divulga a grade horária do semestre completamente encima da hora,… https://t.co/QXN6aU0jNG
93;ed física é o único curso da FMU que o uso de uniforme é obrigatório... vou ver se eles aceitam o pagamento com o meu rim
94;Ser guerreiro é continuar estudando na FMU, cada dia um B.O novo ou um boleto novo que eles tiram do cu
95;PROUNI, FMU, alguém me dá um retorno plmdssssssssss 😤😤😤😤😤
96;"@vinic_soares nem sei 
todo mundo falando que não, mas fmu ta caladinha"
97;FMU entenda, eu não estou preparada psicologicamente pra ter aula presencial, vcs avisaram muito encima da hora
98;pessoas que se inscreveram na FMU desistam pois vocês estão tirando minha vaga. grata.
99;de fato o atendimento da fmu é uma merda
